age,gender,residence,competative_exams,access_to_internet,study_hours_per_day,has_scholarship,extracurricular_activities,fam_fin_status,health,location,f_edu,m_edu,f_job,m_job,alcoholic,additional_tuition,fam_size,fam_relation,prev_percent_1,prev_percent_2,prev_percent_3,TARGET_PREDICTION_PERCENT
21,F,H,1,1,9,0,1,5,3,U,1,4,1,0,0,0,3,3,60,69,56,85
21,F,D,0,1,4,0,1,4,2,U,5,5,1,0,0,0,6,4,81,80,81.6,81
22,M,D,0,1,2,0,1,2,2,R,3,1,0,1,0,0,2,2,77,78,79.6,77
22,F,D,0,1,2,0,1,4,4,U,4,4,1,0,1,0,4,4,80,73,78,83
21,M,D,0,1,4,1,1,4,2,U,4,5,1,0,0,0,4,5,72,73,74,70
22,F,D,0,1,5,1,1,2,5,U,4,2,1,0,0,0,3,4,75,73,73,77
20,F,D,0,1,2,1,0,2,5,U,4,2,1,0,0,0,6,4,76,70,68,71
21,F,D,0,1,8,1,1,2,4,U,0,2,1,0,1,0,4,4,61,61,61,72
21,M,D,0,1,0,0,0,2,2,U,0,2,1,0,3,0,6,2,65,64,63,68
22,M,D,0,1,1,0,0,2,4,U,5,4,1,0,0,0,4,5,60,60,60,60
22,F,D,0,1,2,0,0,4,5,U,5,5,1,0,0,0,4,4,75,76,74,77
22,M,D,0,1,1,0,1,2,2,U,2,2,1,0,0,0,3,2,80,82,80,82
21,F,D,0,1,1,1,0,4,4,U,2,4,1,0,1,0,4,4,85.75,80.44,79.66,82.28
21,F,D,0,0,2,0,0,4,2,U,1,2,1,0,0,0,4,4,95,94,96,97
22,F,D,0,1,1,1,1,4,4,U,5,5,1,1,0,1,4,4,75,74,73,75
21,M,D,0,1,1,0,0,1,2,R,2,3,1,1,0,0,4,4,68.05,66.82,66.9,7.75
21,F,D,0,1,1,0,1,1,2,U,1,2,0,0,0,0,4,2,87,80,82,84
23,F,D,0,1,4,0,0,2,5,U,2,0,1,0,0,0,4,2,67.5,65.9,69.9,68.4
21,F,H,0,1,3,0,0,2,5,U,4,2,0,0,0,0,6,5,77.21,76.83,77.12,77.21
21,M,D,0,1,1,1,1,4,4,U,5,5,0,0,0,0,4,2,80,82,81,82
22,F,D,0,1,4,0,1,4,4,U,2,4,1,0,0,0,3,4,85,82,86,83
21,F,D,0,1,2,0,1,2,5,U,1,1,1,0,0,0,5,5,82,71.1,80.2,81.1
20,F,D,0,1,3,1,0,2,4,U,2,4,1,0,0,0,3,5,74,72,70,74
22,M,D,0,1,4,1,1,5,5,U,3,3,1,0,0,0,4,5,75,77,78,77
20,F,D,0,1,1,1,0,2,4,U,4,4,1,0,1,0,4,4,72,74,72,75
21,F,D,0,1,2,1,1,4,4,U,5,5,1,0,0,0,4,5,89.3,91.2,91.2,87.5
21,F,H,0,1,3,0,0,2,4,U,4,4,0,0,0,0,5,4,70.94,69.63,70.61,71.73
21,F,D,1,1,3,0,1,2,4,U,4,3,1,0,1,0,5,4,7.2,7.5,7.8,8.1
21,F,D,0,1,3,0,0,4,5,U,2,2,1,0,0,0,4,5,75,75,75,70
21,F,D,1,1,6,0,1,2,4,U,5,0,1,0,0,0,4,4,80,78,81,89
20,M,D,0,1,0,0,1,4,4,U,5,5,1,1,0,0,4,5,80,80,80,76
21,F,H,0,1,0,0,1,2,4,U,0,0,1,0,0,0,5,5,80,81,80,80
21,M,D,0,1,3,0,0,2,4,U,2,2,1,0,0,0,4,5,75.6,76,75,75.6
22,F,H,1,1,4,1,1,2,4,R,2,2,0,0,0,0,4,4,72,71,69,76
22,M,H,0,1,1,1,1,2,5,R,2,2,0,0,0,0,4,5,74,77,74,76
21,M,D,0,1,2,0,0,4,4,U,2,3,1,0,0,0,4,5,82,80,80,80
22,F,D,0,1,2,0,1,4,4,U,5,2,1,0,0,0,4,4,87,90,88,87
21,F,D,1,1,4,1,1,5,5,U,4,4,1,1,0,1,10,5,85,80,75,82
21,F,D,1,1,2,1,1,4,4,R,5,4,1,1,3,0,6,5,72,76,71,72
21,F,D,1,1,8,1,1,2,4,U,2,4,0,0,1,0,4,4,88.5,90.5,89.1,87.5
16,F,D,1,1,6,0,0,2,2,U,5,5,1,0,0,1,6,4,95,92,94.08,76
18,M,D,1,1,8,0,0,2,2,U,4,2,1,0,1,1,4,4,67,75,65,78
21,F,D,1,1,5,0,0,2,4,U,5,5,1,0,0,0,6,5,86,84,87,85
17,F,D,1,1,7,1,1,2,4,R,4,4,0,0,1,1,5,2,76,69,72,74
16,F,D,1,1,5,0,0,4,4,U,5,5,1,1,1,1,3,5,87,92,91,87
22,M,D,0,1,2,0,1,4,5,U,5,5,1,0,0,0,4,5,76.7,71.7,72.1,74.8
21,F,D,0,1,1,0,1,2,4,U,4,2,1,0,1,0,5,4,70,72,68,75
21,M,D,0,1,2,0,1,4,5,U,1,2,1,1,0,0,5,5,79,78,77,75
21,F,D,0,1,1,0,0,4,4,U,5,5,1,0,0,0,4,4,63,55,54,70
21,F,D,0,1,1,0,1,2,4,U,4,2,0,0,0,0,4,4,66.5,63.2,62,63.2
21,F,D,1,1,1,0,0,2,2,U,5,5,1,0,0,0,5,2,75,65,70,80
21,F,D,0,1,2,0,1,2,2,U,5,2,0,0,1,0,3,4,71,70,70,72
21,F,H,0,1,5,1,1,2,4,U,4,2,0,0,0,0,6,5,72.27,71.96,73.22,72.94
22,F,D,0,0,2,0,1,2,5,U,2,4,1,1,0,0,4,5,84,78,75,82
21,F,D,1,1,3,0,0,4,5,U,5,5,1,0,1,0,5,5,75,73,74,78
21,F,D,0,1,3,0,1,2,4,U,4,2,1,0,1,0,5,4,72.6,73.5,80.2,71.2
21,M,D,1,1,2,0,1,4,4,U,4,4,1,0,0,0,5,5,88,86,84,88
21,M,D,0,0,1,0,1,4,5,U,5,5,1,0,0,0,4,5,72,70,65,73
21,F,H,0,1,3,1,0,2,1,U,4,4,1,1,0,0,4,2,71,75,80,72
21,M,D,0,1,1,0,1,4,4,U,4,2,1,0,0,0,4,4,69,73,76,73
22,F,D,1,1,6,0,0,2,2,U,5,5,1,1,1,0,4,4,90,92,91,92
23,F,H,0,1,2,0,1,2,4,R,4,4,0,1,0,0,3,4,77.5,77.3,79.6,85.8
22,F,D,0,1,8,0,1,2,4,U,4,4,0,0,0,0,5,2,75,80,82,70
21,M,H,1,1,3,1,1,4,4,U,5,5,1,1,0,0,4,4,75,75,75,76
21,F,D,1,1,3,0,0,5,5,U,5,5,1,1,0,0,4,5,81,77,79,80
22,M,H,0,1,1,0,1,4,4,R,5,4,0,0,1,0,4,5,73,71.2,72,83
20,M,D,0,1,5,0,0,2,2,U,5,4,1,0,0,0,4,2,85.5,88.89,88.67,84.5
21,M,D,0,0,0,0,0,2,2,U,4,2,1,0,1,0,5,2,"75,6",76.8,78.3,80
19,F,D,1,1,6,0,0,4,2,U,5,5,1,0,0,1,6,4,94.08,67.3,83,78
19,F,D,0,0,2,0,0,4,1,U,5,5,1,0,0,0,3,4,76,89,81,89
21,F,H,0,0,3,0,0,2,4,R,4,4,0,0,0,0,4,4,77.78,67,69,80
19,F,D,0,1,7,0,1,4,5,U,5,4,1,1,0,0,4,5,92,91,89,91
19,M,D,0,1,8,0,1,4,5,U,5,4,1,0,0,0,3,5,95,93,90,94
22,M,D,0,1,3,0,1,3,4,U,3,5,1,0,2,0,4,5,98,97,95,94
19,M,D,1,0,7,0,1,4,5,U,5,4,1,1,0,0,4,5,97,97,94,95
19,M,D,0,1,5,0,1,3,3,U,5,4,1,1,0,0,3,5,82,86,82,82
19,F,H,1,1,6,0,1,4,5,U,4,5,1,0,0,0,4,4,67,69,68,67
19,F,H,0,1,8,1,1,2,3,R,5,4,1,0,0,0,3,5,78,75,77,76
19,M,D,1,1,3,0,1,3,5,U,2,4,1,1,0,1,3,5,59,75,67,70
19,M,D,0,1,6,0,1,4,1,U,5,5,0,1,0,0,4,5,92,92,89,88
19,M,D,0,1,3,1,1,2,4,U,5,4,1,1,0,0,4,5,59,57,52,56
19,F,D,0,1,7,0,1,4,5,U,5,5,1,0,0,0,5,5,82,82,81,80
19,M,D,1,1,4,0,1,1,5,R,3,3,1,0,0,0,4,5,94,95,95,93
19,F,H,0,1,7,0,1,3,5,U,5,4,1,0,0,0,3,5,82,85,83,84
19,M,D,0,1,7,0,1,4,3,U,1,4,1,0,0,0,3,5,91,91,92,90
19,M,D,1,1,4,0,1,4,5,U,5,3,1,1,0,0,4,5,73,71,72,73
19,F,H,0,1,5,0,0,4,4,U,5,5,1,1,0,0,4,5,83,79,74,77
18,M,H,1,1,4,0,1,3,5,U,4,4,1,1,0,0,3,5,98,97,96,94
19,F,D,0,1,5,1,1,2,5,U,5,5,1,1,0,0,3,5,87,88,85,85
19,M,D,0,1,7,0,1,4,5,U,5,4,1,1,0,0,4,5,94,93,92,93
19,M,H,1,1,4,0,1,3,3,U,5,3,1,0,0,0,3,5,94,93,93,92
18,M,D,0,1,5,0,1,3,5,U,5,4,1,1,0,0,4,5,80,84,82,81
19,M,D,0,1,3,0,1,4,5,R,5,5,1,1,0,0,4,5,90,91,93,91
19,M,H,0,1,8,0,1,4,3,U,3,4,0,1,0,0,3,5,85,83,81,82
19,M,D,0,1,4,1,1,2,4,U,5,4,1,1,0,0,4,5,94,93,94,92
18,F,H,1,1,5,0,1,4,5,U,5,5,1,1,0,0,4,5,80,76,74,77
19,M,H,0,1,7,0,1,4,5,U,5,5,1,1,0,0,3,5,83,80,79,82
19,F,D,0,1,4,0,1,3,3,R,5,3,1,0,0,0,4,5,98,97,94,95
19,M,H,1,1,2,0,1,4,5,U,5,5,1,1,0,0,3,5,35,60,41,44
19,F,D,0,1,7,0,1,5,5,U,4,4,1,1,0,0,3,5,99,98,98,98
19,M,H,0,1,3,1,1,2,5,U,2,4,1,1,0,0,3,5,88,88,84,87
19,F,H,0,1,5,0,1,3,5,U,5,4,1,1,0,1,4,5,95,97,91,92
19,M,D,0,1,7,0,1,4,5,R,5,5,1,1,0,0,4,5,56,60,58,59
19,M,H,0,1,3,0,1,5,4,U,5,3,1,1,0,0,4,5,88,88,88,87
19,F,H,0,1,5,0,1,3,5,U,5,5,0,1,0,0,3,5,90,91,87,85
18,M,D,0,1,8,0,1,4,5,U,3,4,1,1,0,0,3,5,82,75,84,81
19,F,H,0,1,3,1,1,2,3,U,5,5,1,1,0,0,3,5,95,92,90,93
19,M,H,0,1,7,0,1,5,5,U,5,4,1,0,0,0,4,5,77,75,70,73
19,F,D,0,1,6,0,1,4,5,U,4,4,1,1,0,1,3,5,79,77,79,76
19,M,H,0,1,3,1,1,3,5,R,5,3,1,0,0,0,4,5,92,93,95,92
19,F,D,0,1,7,0,1,3,4,U,5,4,1,1,0,0,4,5,95,94,96,93
19,M,H,0,1,4,0,1,2,5,U,5,5,1,1,0,0,4,5,90,93,91,92
19,F,D,1,1,5,0,1,4,2,U,5,4,1,1,0,0,5,5,90,92,90,91
19,M,D,0,1,7,0,1,3,4,U,5,4,1,1,0,0,4,5,97,95,95,96
19,F,H,0,1,4,0,1,4,2,U,5,4,1,1,0,0,4,5,96,97,95,96
19,M,H,0,1,6,1,1,2,5,U,3,5,1,0,0,0,4,5,89,91,91,90
19,F,D,1,1,4,0,1,4,4,U,5,5,0,1,0,0,4,5,71,71,67,69
19,M,D,0,1,8,0,1,3,2,R,4,4,1,1,0,0,4,1,97,97,95,91
19,F,H,1,1,3,0,1,4,3,U,5,4,1,1,0,0,4,5,75,87,85,82
19,M,H,0,1,7,0,1,3,5,U,5,5,1,1,0,0,4,2,57,68,58,63
20,F,D,0,1,4,0,1,4,4,U,5,4,1,1,0,0,4,5,95,94,90,91
19,M,D,0,1,5,0,1,3,5,U,5,4,1,1,0,0,5,5,89,92,88,90
19,F,H,0,0,8,0,1,4,5,R,3,4,1,1,0,1,4,5,84,84,82,85
19,M,H,0,1,4,1,1,2,1,U,5,4,1,0,0,0,4,5,88,92,89,90
20,M,D,0,1,5,0,1,4,4,U,5,5,1,1,0,0,4,5,94,93,93,92
18,F,D,1,1,6,0,1,3,5,U,5,4,1,1,0,0,4,5,87,87,84,86
19,M,H,0,1,3,0,1,4,5,R,5,2,1,1,0,0,4,5,97,97,95,96
19,F,H,0,1,5,0,1,4,5,U,5,4,1,1,0,0,3,3,96,96,93,94
19,M,D,0,1,3,0,1,3,4,U,5,2,1,1,0,0,3,5,64,68,66,65
19,F,H,0,1,6,0,1,3,5,U,5,2,1,1,0,0,4,5,96,97,93,95
19,M,D,0,1,5,0,1,4,5,U,5,4,1,0,0,0,4,5,78,75,74,76
19,F,D,0,1,4,0,1,3,4,U,5,5,1,1,0,0,3,5,96,97,92,93
19,M,H,1,1,8,0,1,4,5,U,5,4,1,1,0,0,4,5,97,96,93,92
19,F,D,0,1,4,1,1,5,5,R,5,5,1,1,0,0,3,5,46,69,58,55
19,M,D,0,1,5,0,1,3,4,U,5,4,1,0,0,0,4,5,80,79,80,81
19,M,H,0,1,3,0,1,4,1,U,3,2,1,1,0,0,3,5,94,95,94,95
19,F,H,0,1,6,0,1,4,5,U,2,5,1,1,0,0,4,5,75,80,74,78
19,M,D,0,1,5,0,1,3,2,U,5,2,1,1,0,1,4,5,90,94,87,91
19,F,D,0,1,4,0,1,2,5,R,5,5,1,1,0,0,3,5,85,86,89,86
19,M,H,0,1,5,0,1,4,5,U,5,4,1,1,0,0,4,1,98,98,97,96
19,F,D,0,1,8,0,1,4,4,U,2,5,1,1,0,0,3,5,92,94,92,91
19,M,D,0,1,3,0,1,4,4,U,5,2,1,1,0,0,3,5,82,81,76,79
19,F,D,1,1,3,0,1,3,5,U,5,4,1,0,0,0,4,5,91,92,94,90
19,M,D,0,1,6,0,1,4,5,R,3,5,1,1,0,0,5,5,89,89,90,88
19,M,H,0,1,3,0,1,2,5,U,5,2,1,1,0,0,4,5,86,81,84,87
19,F,H,0,1,4,0,1,3,3,U,5,5,1,1,0,0,4,5,94,95,92,90
19,M,D,1,1,6,0,1,4,5,U,5,4,1,1,0,0,3,5,95,93,91,92
19,F,D,0,1,4,0,1,5,5,R,5,5,1,1,0,0,4,2,88,92,92,93
19,M,H,0,1,3,0,1,4,5,U,5,4,1,1,0,0,3,5,77,80,76,78
19,F,D,0,1,4,0,1,3,4,U,5,4,1,0,0,0,4,5,87,91,90,91
19,M,D,0,1,8,0,1,4,5,U,5,5,1,1,0,0,3,5,96,97,94,93
19,F,D,0,1,4,0,1,4,3,U,3,4,1,1,0,0,4,1,73,70,71,69
19,M,H,0,1,6,0,1,4,5,R,5,5,1,1,0,1,4,5,69,70,66,72
19,F,D,0,1,4,0,1,4,4,U,5,4,1,1,0,0,4,5,74,74,72,77
19,M,D,1,1,8,0,1,4,5,U,5,4,1,1,0,0,3,5,78,81,79,80
19,F,D,0,1,4,0,1,3,5,U,5,5,1,1,0,0,3,5,93,93,95,94
19,M,H,0,1,3,0,1,4,5,U,5,4,1,1,0,1,3,5,94,95,96,92
19,F,D,0,1,4,0,1,5,5,R,1,5,1,0,0,0,4,5,90,87,91,92
19,M,D,0,1,6,0,1,4,5,U,5,4,1,1,0,0,4,5,97,94,96,95
19,F,D,0,1,4,0,1,1,5,U,5,4,1,1,0,0,3,5,60,66,69,65
19,M,H,1,1,6,0,1,5,5,U,3,4,1,1,1,0,5,5,91,94,90,92
19,F,D,0,1,3,0,1,4,4,U,5,4,1,0,0,1,4,5,90,89,92,93
19,M,D,0,1,8,0,1,1,5,U,5,5,1,1,0,0,3,5,95,95,93,91
20,F,D,0,1,3,0,1,3,5,R,5,4,1,1,0,0,4,5,89,93,95,90
19,M,H,1,1,6,0,1,4,5,U,5,5,1,0,0,0,5,4,48,83,63,70
19,F,D,0,1,3,0,1,5,5,U,5,4,1,1,0,0,4,5,71,72,70,70
19,M,D,0,1,8,0,1,4,4,U,5,5,1,1,0,0,3,5,97,96,96,95
19,F,D,0,1,6,0,1,3,5,R,5,4,1,1,0,0,4,5,96,95,95,93
22,M,H,1,1,8,0,1,4,2,U,5,4,1,1,0,0,3,5,99,99,97,95
19,M,H,0,1,3,0,0,4,4,U,5,5,1,0,0,0,4,5,94,93,90,92
19,F,D,0,1,6,0,1,3,5,U,5,4,1,1,0,0,5,5,90,90,91,89
21,F,D,0,1,4,0,1,4,3,U,4,4,1,0,1,0,6,4,81,80,81.6,81
22,M,D,0,1,2,0,1,3,3,R,2,1,0,1,1,0,2,3,77,78,79.6,77
22,F,D,0,1,2,0,1,4,4,U,3,3,1,0,2,0,4,4,80,73,78,83
21,F,D,0,1,4,1,1,4,3,U,3,4,1,0,1,0,4,5,72,73,74,70
22,F,D,0,1,5,1,1,3,5,U,3,1,1,0,1,0,3,4,75,73,73,77
20,F,D,0,1,2,1,0,3,5,U,3,1,1,0,1,0,6,4,76,70,68,71
21,F,D,0,1,8,1,1,3,4,U,1,1,1,0,2,0,4,4,61,61,61,72
21,M,D,0,1,0,0,0,3,3,U,1,1,1,0,3,0,6,3,65,64,63,68
22,M,D,0,1,1,0,0,3,4,U,4,3,1,0,1,0,4,5,60,60,60,60
22,F,D,0,1,2,0,0,4,5,U,4,4,1,0,1,0,4,4,75,76,74,77
22,M,D,0,1,1,0,1,3,3,U,1,1,1,0,1,0,3,3,80,82,80,82
21,F,D,0,1,1,1,0,4,4,U,1,3,1,0,2,0,4,4,85.75,80.44,79.66,82.28
21,F,D,0,0,2,0,0,4,3,U,1,1,1,0,1,0,4,4,95,94,96,97
22,F,D,0,1,1,1,1,4,4,U,4,4,1,1,1,1,4,4,75,74,73,75
21,M,D,0,1,1,0,0,1,3,R,1,2,1,1,1,0,4,4,68.05,66.82,66.9,7.75
21,F,D,0,1,1,0,1,1,3,U,1,1,0,0,1,0,4,3,87,80,82,84
23,F,D,0,1,4,0,0,3,5,U,1,1,1,0,1,0,4,3,67.5,65.9,69.9,68.4
21,F,H,0,1,3,0,0,3,5,U,3,1,0,0,1,0,6,5,77.21,76.83,77.12,77.21
21,M,D,0,1,1,1,1,4,4,U,4,4,0,0,1,0,4,3,80,82,81,82
22,F,D,0,1,4,0,1,4,4,U,1,3,1,0,1,0,3,4,85,82,86,83
21,F,D,0,1,2,0,1,3,5,U,1,1,1,0,1,0,5,5,82,71.1,80.2,81.1
20,F,D,0,1,3,1,0,3,4,U,1,3,1,0,1,0,3,5,74,72,70,74
22,M,D,0,1,4,1,1,5,5,U,2,2,1,0,1,0,4,5,75,77,78,77
20,F,D,0,1,1,1,0,3,4,U,3,3,1,0,2,0,4,4,72,74,72,75
21,F,D,0,1,2,1,1,4,4,U,4,4,1,0,1,0,4,5,89.3,91.2,91.2,87.5
21,F,H,0,1,3,0,0,3,4,U,3,3,0,0,1,0,5,4,70.94,69.63,70.61,71.73
21,F,D,1,1,3,0,1,3,4,U,3,2,1,0,2,0,5,4,7.2,7.5,7.8,8.1
21,F,D,0,1,3,0,0,4,5,U,1,1,1,0,1,0,4,5,75,75,75,70
21,F,D,1,1,6,0,1,3,4,U,4,1,1,0,1,0,4,4,80,78,81,89
20,M,D,0,1,0,0,1,4,4,U,4,4,1,1,1,0,4,5,80,80,80,76
21,F,H,0,1,0,0,1,3,4,U,1,1,1,0,1,0,5,5,80,81,80,80
21,M,D,0,1,3,0,0,3,4,U,1,1,1,0,1,0,4,5,75.6,76,75,75.6
22,F,H,1,1,4,1,1,3,4,R,1,1,0,0,1,0,4,4,72,71,69,76
22,M,H,0,1,1,1,1,3,5,R,1,1,0,0,1,0,4,5,74,77,74,76
21,M,D,0,1,2,0,0,4,4,U,1,2,1,0,1,0,4,5,82,80,80,80
22,F,D,0,1,2,0,1,4,4,U,4,1,1,0,1,0,4,4,87,90,88,87
21,F,D,1,1,4,1,1,5,5,U,3,3,1,1,1,1,10,5,85,80,75,82
21,F,D,1,1,2,1,1,4,4,R,4,3,1,1,3,0,6,5,72,76,71,72
21,F,D,1,1,8,1,1,3,4,U,1,3,0,0,2,0,4,4,88.5,90.5,89.1,87.5
16,F,D,1,1,6,0,0,3,3,U,4,4,1,0,1,1,6,4,95,92,94.08,76
18,M,D,1,1,8,0,0,3,3,U,3,1,1,0,2,1,4,4,67,75,65,78
21,F,D,1,1,5,0,0,3,4,U,4,4,1,0,1,0,6,5,86,84,87,85
17,F,D,1,1,7,1,1,3,4,R,3,3,0,0,2,1,5,3,76,69,72,74
16,F,D,1,1,5,0,0,4,4,U,4,4,1,1,2,1,3,5,87,92,91,87
22,M,D,0,1,2,0,1,4,5,U,4,4,1,0,1,0,4,5,76.7,71.7,72.1,74.8
21,F,D,0,1,1,0,1,3,4,U,3,1,1,0,2,0,5,4,70,72,68,75
21,M,D,0,1,2,0,1,4,5,U,1,1,1,1,1,0,5,5,79,78,77,75
21,F,D,0,1,1,0,0,4,4,U,4,4,1,0,1,0,4,4,63,55,54,70
21,F,D,0,1,1,0,1,3,4,U,3,1,0,0,1,0,4,4,66.5,63.2,62,63.2
21,F,D,1,1,1,0,0,3,3,U,4,4,1,0,1,0,5,3,75,65,70,80
21,F,D,0,1,2,0,1,3,3,U,4,1,0,0,2,0,3,4,71,70,70,72
21,F,H,0,1,5,1,1,3,4,U,3,1,0,0,1,0,6,5,72.27,71.96,73.22,72.94
22,F,D,0,0,2,0,1,3,5,U,1,3,1,1,1,0,4,5,84,78,75,82
21,F,D,1,1,3,0,0,4,5,U,4,4,1,0,2,0,5,5,75,73,74,78
21,F,D,0,1,3,0,1,3,4,U,3,1,1,0,2,0,5,4,72.6,73.5,80.2,71.2
21,M,D,1,1,2,0,1,4,4,U,3,3,1,0,1,0,5,5,88,86,84,88
21,M,D,0,0,1,0,1,4,5,U,4,4,1,0,1,0,4,5,72,70,65,73
21,F,H,0,1,3,1,0,3,1,U,3,3,1,1,1,0,4,3,71,75,80,72
21,M,D,0,1,1,0,1,4,4,U,3,1,1,0,1,0,4,4,69,73,76,73
22,F,D,1,1,6,0,0,3,3,U,4,4,1,1,2,0,4,4,90,92,91,92
23,F,H,0,1,2,0,1,3,4,R,3,3,0,1,1,0,3,4,77.5,77.3,79.6,85.8
22,F,D,0,1,8,0,1,3,4,U,3,3,0,0,1,0,5,3,75,80,82,70
21,M,H,1,1,3,1,1,4,4,U,4,4,1,1,1,0,4,4,75,75,75,76
21,F,D,1,1,3,0,0,5,5,U,4,4,1,1,1,0,4,5,81,77,79,80
22,M,H,0,1,1,0,1,4,4,R,4,3,0,0,2,0,4,5,73,71.2,72,83
20,M,D,0,1,5,0,0,3,3,U,4,3,1,0,1,0,4,3,85.5,88.89,88.67,84.5
21,M,D,0,0,0,0,0,3,3,U,3,1,1,0,2,0,5,3,"75,6",76.8,78.3,80
19,F,D,1,1,6,0,0,4,3,U,4,4,1,0,1,1,6,4,94.08,67.3,83,78
19,F,D,0,0,2,0,0,4,1,U,4,4,1,0,1,0,3,4,76,89,81,89
21,F,H,0,0,3,0,0,3,4,R,3,3,0,0,1,0,4,4,77.78,67,69,80
19,F,H,1,1,5,1,1,1,5,R,2,0,0,0,0,1,3,5,90,89,96,90
20,M,D,0,1,2,0,1,1,5,R,1,2,1,0,0,0,3,4,93,56,93,90
21,F,H,0,1,1,0,1,2,5,R,3,2,1,0,0,0,2,5,65,67,95,91
20,M,H,1,1,2,0,1,3,2,R,2,2,1,0,0,0,4,4,65,87,88,92
22,F,H,0,1,3,1,1,2,3,U,5,3,0,0,0,0,4,5,89,77,39,93
21,M,H,1,1,2,0,0,1,3,R,4,3,0,0,0,1,4,4,98,98,88,94
20,F,H,0,0,1,0,1,2,3,U,1,3,0,0,0,0,4,5,65,76,92,95
21,M,H,1,1,2,0,0,3,3,R,2,5,0,0,0,1,5,4,89,65,88,96
19,F,D,0,1,3,1,1,5,2,U,3,5,0,0,0,1,5,5,56,45,87,97
20,M,D,1,0,6,0,0,4,2,R,2,5,0,0,0,1,4,4,78,36,88,98
22,F,H,0,1,5,1,1,5,2,U,1,5,0,1,0,1,2,5,87,67,78,99
20,M,H,1,1,4,0,0,4,3,R,4,5,0,1,0,0,2,4,98,89,78,96
21,F,D,1,1,6,1,1,5,2,U,2,4,1,1,0,1,3,5,89,76,99,95
21,M,H,0,0,5,0,0,4,3,U,0,4,0,1,0,0,5,4,89,87,96,94
21,F,H,1,1,7,0,1,1,3,U,0,5,1,1,0,1,6,5,98,65,96,93
21,M,D,0,0,4,0,0,2,3,U,0,4,0,1,0,0,6,4,98,40,88,92
18,F,H,1,1,1,1,1,1,3,R,2,5,1,1,0,1,5,5,58,36,78,91
20,M,D,0,0,2,0,0,3,3,R,1,4,0,1,0,0,6,4,99,59,89,95
21,F,H,1,1,3,1,1,2,3,U,2,5,1,1,0,1,8,5,97,72,56,98
23,M,H,0,0,2,0,0,1,5,R,3,5,0,1,0,0,7,4,78,81,65,98
21,F,D,1,1,1,1,1,5,1,U,2,5,1,0,1,1,6,5,56,94,99,99
21,M,H,0,0,4,0,0,5,4,R,1,4,0,0,1,0,5,4,88,82,89,96
24,F,H,1,1,5,0,1,5,5,U,4,5,0,0,2,1,6,3,88,76,33,95
20,M,D,0,0,6,0,0,5,4,R,5,4,0,0,2,0,5,5,99,87,55,94
30,F,H,1,0,5,0,1,5,5,U,4,1,0,0,0,1,2,4,77,54,44,93
18,M,D,0,0,4,0,0,5,4,U,5,2,0,0,3,0,4,2,55,67,55,92
19,F,D,0,1,1,1,0,4,5,U,4,4,0,0,4,1,5,4,45,78,56,90
20,M,D,1,0,2,1,0,5,4,R,5,5,0,0,1,0,5,5,85,23,52,90
21,F,D,0,0,3,1,1,4,5,R,4,4,0,0,2,1,4,4,86,56,58,91
20,M,D,1,0,2,1,0,5,4,R,1,1,0,0,1,0,6,5,86,55,98,98
20,F,D,0,0,1,0,1,4,5,U,2,2,0,0,0,1,6,4,86,67,87,97
20,M,D,1,1,2,1,0,4,4,R,1,4,0,1,0,0,6,5,84,45,78,95
21,F,D,0,1,3,0,0,4,5,U,0,1,1,0,0,1,5,4,94,67,78,91
21,M,D,0,1,2,0,0,4,4,U,1,2,1,0,0,0,5,5,93,34,74,92
23,F,D,0,0,3,0,1,4,3,R,4,2,0,1,0,1,4,4,92,98,77,96
20,M,D,0,0,2,1,1,5,2,U,5,2,0,0,0,0,4,5,91,90,55,97
20,F,D,0,1,1,0,1,5,2,U,4,3,1,1,0,1,5,4,92,70,98,90
19,M,H,0,1,2,1,1,5,5,R,2,2,0,0,0,0,6,5,93,60,99,91
19,F,H,0,0,2,1,1,5,3,U,1,3,0,1,0,1,5,5,95,67,69,93
21,M,H,0,1,2,1,1,3,5,U,3,5,0,1,0,0,4,5,95,78,56,95
22,F,H,0,1,1,1,1,3,2,R,2,5,1,1,0,1,4,4,87,98,65,96
22,M,H,0,1,2,1,0,3,3,U,5,5,1,0,0,0,4,5,81,34,68,95
21,F,D,0,1,2,1,0,3,5,U,1,4,1,1,0,1,4,4,81,25,69,98
22,M,H,0,0,,1,1,3,5,R,0,5,1,0,0,0,2,2,65,46,69,96
22,F,D,1,1,2,1,0,2,3,U,0,4,1,1,0,1,3,4,38,67,78,93
20,M,H,1,0,3,1,1,1,5,R,2,5,1,0,0,0,5,5,54,65,89,97
19,F,H,1,0,6,1,0,5,3,U,1,4,0,0,0,1,4,5,93,74,78,98
19,M,D,0,,5,1,0,4,2,R,3,5,0,0,0,0,2,4,87,78,98,92
20,F,H,0,1,4,1,0,4,5,U,5,4,0,0,0,1,6,2,94,92,78,90
22,M,D,0,1,2,1,1,4,3,U,4,5,0,0,0,0,5,4,63,56,87,90
20,F,H,1,0,3,1,1,4,2,R,1,4,0,0,0,1,4,5,95,87,88,90
20,M,D,1,0,6,0,1,5,4,U,2,5,0,0,0,0,6,4,65,89,87,97
23,F,H,1,0,5,1,1,5,2,U,1,5,0,0,0,1,3,5,92,88,89,96
25,M,H,1,1,4,0,1,5,5,U,2,4,0,0,0,0,2,4,95,98,87,94
